[2024-03-13 11:20:46,907] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:20:47,908] [drone_actions] INFO Sensor Anomaly State 0: Normal
[2024-03-13 11:20:47,908] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:47,909] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:20:48,911] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:20:49,910] [drone_actions] INFO Sensor Anomaly State 0: Normal
[2024-03-13 11:20:49,912] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:20:50,914] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:20:50,914] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:20:50,915] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-13 11:20:51,913] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 11:20:51,914] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:20:51,917] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:20:52,918] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:20:53,916] [drone_actions] INFO Sensor Anomaly State 0: Normal
[2024-03-13 11:20:53,917] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:20:53,920] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 11:20:53,920] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 11:20:53,921] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
[2024-03-13 11:20:54,923] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 11:20:55,919] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 11:20:55,919] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 11:20:55,925] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:20:55,925] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 11:20:56,928] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:20:57,921] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-13 11:20:57,922] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:20:57,922] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-13 11:20:57,929] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:20:58,931] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:20:59,923] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-13 11:20:59,932] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:21:00,933] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 11:21:00,934] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:21:01,926] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 11:21:01,927] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 11:21:01,928] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
[2024-03-13 11:21:01,935] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 11:21:02,937] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:21:02,938] [drone_actions] INFO Overall State 2: Severe
